x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,Y1
8,3,0.18,2.6,411,3.47,3.12,0.68,19.85,3.84,63.03,4.21,0.03,0.88,17.1
8,2,0.23,2.07,429,3.86,2.99,0.65,19.9,3.9,63.41,4.02,0.03,0.79,17.1
1,3,0.26,2.53,419,3.81,2.87,0.61,19.69,4.34,62.63,3.73,0.03,0.88,17.1
3,2,0.3,2.26,384,3.31,2.82,0.59,19.9,4.23,62.25,3.87,0.03,1.02,17.1
3,3,0.45,3.3,392,3.7,2.85,0.6,19.9,4.26,63.03,3.83,0.03,0.94,17.1
4,3,0.21,2.12,416,3.82,2.84,0.69,20.02,4.11,63.12,3.81,0.03,0.95,17.1
4,3,0.06,1.64,400,2.04,2.92,0.79,20.84,4.71,62.45,3.94,0.04,0.97,17.2
7,3,0.23,2.6,431,3.53,2.9,0.62,19.62,4.04,63.41,3.89,0.03,0.81,17.2
12,3,0.25,2.44,393,3.42,2.85,0.65,19.69,4.15,62.61,3.94,0.03,1.08,17.2
12,3,0.16,1.89,382,4.13,2.75,0.58,19.63,4.44,62.72,3.63,0.03,0.78,17.2
3,2,0.24,2.5,402,3.53,2.88,0.59,19.54,4.43,62.85,3.67,0.03,0.93,17.2
2,2,0.41,2.99,411,1.97,2.89,0.9,22.66,4.52,61.91,4.86,0.14,0.98,17.3
5,2,0.47,2.45,429,1.82,2.91,0.99,22.6,4.98,61.88,4.91,0.11,1.13,17.3
10,2,0.11,1.84,424,2.46,2.76,0.88,21.41,4.61,61.76,3.76,0.1,0.99,17.3
11,2,0.44,3.11,400,2.11,2.82,0.96,22.3,4.67,61,4.23,0.1,1.17,17.3
6,3,0.03,1.8,400,2.7,2.92,0.84,19.91,4.31,62.25,3.66,0.1,0.88,17.3
8,3,0.07,1.96,432,3.93,2.92,0.81,19.54,4.23,62.84,3.78,0.09,0.6,17.3
9,3,0.18,2.55,429,3.69,3.02,0.8,19.93,4.62,63.15,3.27,0.04,1.91,17.3
3,3,0.46,2.77,409,3.8,2.69,0.63,20.01,4.36,62.94,3.8,0.03,0.92,17.3
5,2,0.36,2.27,432,1.87,2.84,0.78,21.98,4.81,59.93,4.36,0.14,1.04,17.4
7,2,0.46,2.69,489,2.11,2.91,0.8,22.37,4.8,61.72,4.38,0.14,1.02,17.4
12,2,0.32,1.47,429,2.64,2.94,0.84,22.67,4.77,60.78,4.82,0.1,1.2,17.4
6,2,0.07,3,402,2.78,2.83,0.84,19.96,4.39,62.2,3.62,0.1,0.81,17.4
9,3,0.41,3.63,415,3.76,2.87,0.8,19.69,4.84,63.04,3.09,0.04,0.83,17.4
10,3,0.27,2.37,414,3.89,2.78,0.56,19.74,4.07,63.55,3.99,0.04,0.81,17.4
10,3,0.32,2.58,413,3.74,2.84,0.53,18.78,4.2,62.83,3.87,0.02,0.92,17.4
11,3,0.26,2.53,397,3.95,2.9,0.55,19.7,4.31,63.16,3.91,0.03,0.87,17.4
11,2,0.17,2.02,406,3.69,2.85,0.6,19.71,4.09,62.4,4.01,0.03,0.98,17.4
1,3,0.36,2.69,403,3.9,2.84,0.58,19.56,4.26,62.58,3.75,0.03,0.89,17.4
2,2,0.19,3.3,387,3.31,2.89,0.62,19.7,4.27,62.43,3.84,0.03,0.91,17.4
3,3,0.28,3.61,401,3.54,2.7,0.59,19.75,4.3,62.35,3.77,0.03,1.01,17.4
3,3,0.42,3.44,406,3.68,2.77,0.6,19.85,4.41,63.1,3.76,0.03,0.9,17.4
1,2,0.38,3.46,392,2.01,2.85,0.69,22.67,4.16,61.07,4.64,0.13,1.04,17.5
6,2,0.11,1.92,432,3.59,2.8,0.66,19.95,4.03,63.16,4.1,0.12,0.95,17.5
10,2,0.2,2.23,392,3.41,2.95,0.86,20.73,4.17,62.61,3.72,0.09,0.94,17.5
8,2,0.11,1.83,444,3.25,2.95,0.7,19.84,4.05,63.19,3.84,0.03,0.86,17.5
9,2,0.18,2.63,427,2.94,2.97,0.75,20.04,4.47,63.55,3.47,0.04,0.89,17.5
10,3,0.2,2.11,410,3.83,2.96,0.57,19.78,4.11,62.93,3.95,0.03,0.84,17.5
11,2,0.26,2.54,390,3.92,2.9,0.56,19.63,4.3,62.9,3.79,0.03,0.93,17.5
3,3,0.32,2.79,413,3.88,2.71,0.63,20.1,4.35,62.93,3.81,0.03,0.92,17.5
3,3,0.29,2.7,388,3.96,2.79,0.63,19.97,4.34,62.83,3.83,0.03,0.93,17.5
6,2,0.22,2.29,438,1.71,2.9,0.89,21.96,4.6,61.66,4.66,0.14,1.1,17.6
10,2,0.29,2.03,460,2.59,2.92,0.84,22.08,4.38,61.16,4.61,0.14,1.03,17.6
9,2,0.36,2.8,443,3.36,2.95,0.84,20.84,4.39,63.4,3.63,0.04,0.91,17.6
3,3,0.25,1.72,414,2.03,2.85,0.81,22,4.93,61.04,4.22,0.09,1.05,17.6
9,2,0.2,2.16,432,3.28,2.87,0.8,19.76,4.82,62.98,3.12,0.04,0.84,17.6
10,3,0.32,2.94,407,3.67,2.9,0.55,19.86,4.05,63.23,3.99,0.02,0.83,17.6
3,3,3.74,3.19,393,3.86,2.76,0.6,19.71,4.45,63.02,3.68,0.03,0.91,17.6
7,3,0.2,1.86,457,1.79,2.87,0.86,21.9,4.6,60.4,4.19,0.12,0.89,17.7
6,3,0.39,1.4,416,3.1,2.97,0.84,19.75,4.35,63.08,3.63,0.1,0.91,17.7
8,3,0.18,2,428,3.69,2.88,0.84,19.49,4.22,62.56,3.87,0.1,0.61,17.7
10,2,0.25,2.48,412,3.57,2.97,0.84,19.6,4.76,62.9,3.17,0.03,0.97,17.7
11,3,0.31,3.56,394,3.92,2.74,0.54,19.45,3.97,62.96,4.09,0.02,0.92,17.7
6,3,0.08,1.7,392,3.14,2.77,0.81,19.77,4.29,62.61,3.54,0.1,0.84,17.8
10,2,0.4,2.2,407,3.3,2.81,0.56,19.61,4.15,63.37,4.05,0.05,0.75,17.8
11,3,0.32,2.01,408,3.8,2.83,0.53,19.25,4.03,62.68,3.95,0.03,0.9,17.8
12,3,0.13,2.02,432,4.12,2.89,0.58,19.44,4.4,62.64,3.68,0.03,0.81,17.8
7,3,0.22,2.9,440,3.57,2.89,0.74,19.27,4.2,62.38,3.63,0.05,0.72,17.9
11,3,0.21,2.07,408,3.89,2.79,0.53,19.43,3.97,62.96,4.03,0.03,9.1,17.9
11,3,0.31,2.28,411,3.78,2.91,0.54,19.83,4.02,63.06,4.15,0.02,0.9,17.9
11,3,0.3,2.02,398,3.77,2.97,0.55,19.69,4.5,63.14,3.92,0.03,0.85,17.9
11,2,0.21,2.08,407,1.9,2.89,0.93,22.02,4.69,61.15,4.08,0.1,1.15,18
3,3,0.1,1.45,426,1.81,2.95,0.84,21.72,4.09,59.69,4.5,0.1,1.13,18
5,2,0.2,2.29,409,2.35,2.87,0.7,20.45,5,63.17,3.56,0.04,0.86,18
6,3,0.07,1.67,406,3.47,2.73,0.84,19.15,4.14,62.24,3.72,0.1,1.07,18
8,3,0.24,2.1,418,3.38,3.01,0.65,19.64,3.87,62.95,4.07,0.03,0.87,18
8,2,0.1,1.6,416,3.66,2.87,0.84,19.48,3.93,62.6,4,0.1,1,18
8,2,0.22,1.89,443,3.51,2.98,0.8,19.61,4.57,63.51,3.33,0.04,0.81,18
